IDENTIFIER: Reference ID,FORMULA,PROPERTY: Microstructure,PROPERTY: Processing method,PROPERTY: BCC/FCC/other,PROPERTY: grain size ($\mu$m),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: HV,PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: O content (wppm),PROPERTY: N content (wppm),PROPERTY: C content (wppm),REFERENCE: doi,REFERENCE: year,REFERENCE: title,sample_weight
27,Al0.25 Co1 Fe1 Ni1,FCC,CAST,FCC,,,7.9,138.0,C,25.0,158.0,,,,,192.0,,,,10.1016/j.jmmm.2014.07.023,2014,Effects of Al and Si addition on the structure and properties of CoFeNi equal atomic ratio alloy,0.8401502268926317
27,Co1 Fe1 Ni1,FCC,CAST,FCC,,,8.5,125.0,C,25.0,204.0,,,,,207.0,,,,10.1016/j.jmmm.2014.07.023,2014,Effects of Al and Si addition on the structure and properties of CoFeNi equal atomic ratio alloy,0.9965757492413235
27,Co1 Fe1 Ni1,FCC,CAST,FCC,,,8.5,125.0,C,25.0,209.0,,,,,207.0,,,,10.1016/j.jmmm.2014.07.023,2014,Effects of Al and Si addition on the structure and properties of CoFeNi equal atomic ratio alloy,0.996437278904984
27,Co1 Fe1 Ni1 Si0.25,FCC,CAST,FCC,,,7.7,149.0,C,25.0,196.0,,,,,186.0,,,,10.1016/j.jmmm.2014.07.023,2014,Effects of Al and Si addition on the structure and properties of CoFeNi equal atomic ratio alloy,0.8751597266486997
37,Co1 Cr1 Mn1 Ni1,FCC,WROUGHT,FCC,36.0,,8.1,,T,25.0,282.0,694.0,44.0,,,222.0,,,,10.1016/j.actamat.2014.08.026,2014,Temperature dependence of the mechanical properties of equiatomic solid solution alloys with face-centered cubic crystal structures,0.8473937224405926
37,Co1 Fe1 Mn1 Ni1,FCC,WROUGHT,FCC,48.0,,8.2,,T,25.0,170.0,550.0,41.0,,,204.0,,,,10.1016/j.actamat.2014.08.026,2014,Temperature dependence of the mechanical properties of equiatomic solid solution alloys with face-centered cubic crystal structures,0.8493649194521153
37,Co1 Fe1 Ni1,FCC,WROUGHT,FCC,28.0,,8.5,,T,25.0,211.0,513.0,31.0,,,207.0,,,,10.1016/j.actamat.2014.08.026,2014,Temperature dependence of the mechanical properties of equiatomic solid solution alloys with face-centered cubic crystal structures,0.9052577812821603
37,Fe1 Mn1 Ni1,FCC,WROUGHT,FCC,30.0,,8.1,,T,25.0,221.0,602.0,36.0,,,203.0,,,,10.1016/j.actamat.2014.08.026,2014,Temperature dependence of the mechanical properties of equiatomic solid solution alloys with face-centered cubic crystal structures,0.8458553293311686
54,Al0.25 Co1 Cr1 Fe1 Ni1,FCC,ANNEAL,FCC,,,7.7,110.0,,25.0,,,,,,213.0,,,,10.1016/j.jallcom.2009.08.090,2009,"Microstructure and mechanical property of as-cast, -homogenized, and -deformed AlxCoCrFeNi (0≤x≤2) high-entropy alloys",0.9914423730968212
54,Al0.25 Co1 Cr1 Fe1 Ni1,FCC,ANNEAL,FCC,,,7.7,113.0,,25.0,,,,,,213.0,,,,10.1016/j.jallcom.2009.08.090,2009,"Microstructure and mechanical property of as-cast, -homogenized, and -deformed AlxCoCrFeNi (0≤x≤2) high-entropy alloys",0.9914423730968212
54,Al0.375 Co1 Cr1 Fe1 Ni1,FCC,ANNEAL,FCC,,,7.5,131.0,,25.0,,,,,,207.0,,,,10.1016/j.jallcom.2009.08.090,2009,"Microstructure and mechanical property of as-cast, -homogenized, and -deformed AlxCoCrFeNi (0≤x≤2) high-entropy alloys",0.8424488689218909
54,Al0.375 Co1 Cr1 Fe1 Ni1,FCC,ANNEAL,FCC,,,7.5,196.0,,25.0,,,,,,207.0,,,,10.1016/j.jallcom.2009.08.090,2009,"Microstructure and mechanical property of as-cast, -homogenized, and -deformed AlxCoCrFeNi (0≤x≤2) high-entropy alloys",0.8424488689218909
