FORMULA,PROPERTY: YS (MPa)
CrCuTe2,160.0
Cr20Cu19Te40,170.0
Cr4Cu3Te8,260.0
MnInCu2,520.0
MnAlCu2,600.0
MnNi2Sn,344.0
Mn3GaC,248.0
Mn60Ga20C19,265.0
Tb2C,266.0
DyP,4.5
DyN,17.0
Fe3BO6,508.0
Cr2SbTe,220.0
Cr4SbTe3,290.0
Ho10Er19,21.0
Tm39Lu11,11.0
Ti2FeS4,60.2
VAu4,52.0
ZrFe2,628.0
HoMn5,425.0
SmMn5,440.0
GdRh2,77.0
NdRh2,8.1
PrRh2,8.6
DyPt2,25.0
ErPt2,15.0
GdPt2,46.5
HoPt2,19.0
NdPt2,6.7
TbPt2,26.0
FePd3,540.0
Fe13Pd987,55.0
PrPt2,7.9
PrOs2,35.0
U2Se3,180.0
U3Se4,160.0
USe,180.0
Tb(HO)3,3.7
Mn3Cr2As5,160.0
Fe5Pd8Pt7,270.0
FePd2Pt,360.0
Ce3Se4,10.0
Gd3Se4,82.0
TbAl2,111.0
Zr3(NbFe5)2,230.0
EuSe,6.0
PrAg,14.0
NbCo2Sn,110.0
Fe31Co19P25,459.0
Fe46Ni4P25,342.0
Zn2Cr10Cd3Se20,105.0
ZnCr20Cd9Se40,137.0
UGa2,126.0
UFe2,171.5
U3Bi4,108.0
Mn4FeGe3,322.0
Mn7(FeGe2)3,332.0
Mn9FeGe6,318.0
FeB,598.0
MnB,578.0
Gd10In3Ag7,72.0
Gd10In7Ag3,116.0
Gd2InAg,122.0
Gd5InAg4,40.0
HoP,4.8
La2Co7,490.0
La4EuAl10,6.0
HoFe2,612.0
ErFe2,590.0
Y6Fe23,483.0
TmGaFe,35.0
Pr73Mn100(Pb9O100)3,234.0
Er2Ga3Co,3.0
LaCoO3,85.0
CoB,477.0
UAsS,128.0
UAsSe,118.0
PuGe2,34.5
UGe2,52.0
CoNiSn,850.0
Fe9Sn5,676.0
NdH2,9.5
Er5Si4,25.0
Gd3(YAl5)2,100.0
Y(Er2Al5)2,13.0
Mn10As9P,240.0
Zr5(Fe4Co)2,500.0
Zr5(Mn2Fe3)2,115.0
CrCuRhSe4,270.0
PrCo9Si4,24.0
Pr2Co12P7,136.0
La2Fe14B,530.0
HfZr9Zn20,10.2
Hf3(Zr11Zn25)2,4.0
FeBO3,388.0
Mn3Pt2,540.0
Ga125FeNi374,41.3
Ga25FeNi74,85.0
Cr2CuSe3Br,274.0
Cr2CuTe3I,294.0
Be12Cr,50.0
Pr3Al,16.0
CeAl4,9.0
Dy3(ErAl5)2,49.0
MnAlAu2,255.0
MnSbPd2,247.0
Gd17Y3,268.0
Gd69Lu31,221.0
Gd7Y3,220.0
Gd91Lu9,267.0
NdCo5,925.0
Gd4Sb3,260.0
Gd5Pd2,335.0
YbCo5,973.0
Ho,20.0
CeCo5,687.0
NdNi,35.0
TmNi,4.0
PrNi2,8.0
SmNi,45.0
YbNi5,1.4
Al3(Co10B3)2,403.0
Al3Fe8(Co2B)6,815.0
Al3Fe8(Ni2B)6,285.0
Gd6Cd5,272.5
Ce6Cd5,12.0
Dy13Cd10,105.0
Er6Cd5,14.0
Ho13Cd10,30.0
Nd13Cd10,105.0
Tb6Cd5,185.0
YMn5,488.0
GdMn5,466.5
DyMn5,430.0
ErMn5,415.0
TbMn5,445.0
MnB2,143.0
Nd3S4,50.0
GdI3,1.0
Sm2Co17,1190.0
Ca33La57Mn100O300,283.4
Ca33La61Mn100O300,281.0
Ca33La67Mn94O300,240.0
Sr6Ca6La28Mn39FeO120,336.4
Ho2In,85.0
HoGa,69.0
Tb3Al2,190.0
Gd3(Co2Sn)4,102.5
GdCo3Sn,133.0
Lu300Co777Sn400,63.0
LaFeCoSi,297.0
Lu(AlFe)6,327.0
Lu2Al13Fe11,263.0
LuAl7Fe5,200.0
Fe3Si,873.5
Fe20B7C3,698.0
Al(FeB)2,290.0
Sr6La12Pr2Mn19RuO60,352.2
Sr6La12Pr2Mn17(RuO20)3,344.0
Sr3La6PrMn10O30,352.25
Fe10SiNi70B19,186.88
Fe13SiNi67B19,268.47
Fe16SiNi64B19,341.82
Zr5(Fe14Co)3,374.8
Zr5Fe43Co2,328.0
Zr5Fe44Co,281.6
Fe31Ni866W103,55.0
Fe69(Ni118W15)7,191.0
