FORMULA,PROPERTY: YS (MPa)
CdCu2SnS4,1.37
Tl3Si,0.0
Th2CrN3,0.0
Al0.99Cd0.01Sb0.99Te0.01,2.21
Cd1Se0.35S0.65,2.13
AgCNO,0.0
Ge0.1Pb0.9Se1,0.3
LuPt3,0.0
CsSbS2,2.8
ReIr3,0.0
La2Pr2O7,0.0
Ti2C,0.0
Li4.5Cr0.5Te1O6,1.79
Ba2ScIrO6,0.0
Ga1As0.5P0.5,2.0
Bi2Te0.1Se2.9,0.78
Ta2MoOs,0.0
SrSeO4,4.75
Li17Nb20O60,0.0
LiMn(PO4)2,0.0
CaCdSi,0.0
Ag9Ge2IO8,0.0
AgBi(PS3)2,1.7
Sm5Br11,0.0
Dy4Te3S4,1.43
CuBiSO,1.07
Na9(WO3)16,0.0
Ca2SmTaO6,3.45
Li3Ni(SbO3)4,0.0
Li2ZnGe,1.1
SmAs,1.03
Th(FeSi)2,0.0
Yb(HO)3,0.0
CsCd4In5Se12,1.62
Sm2O3,5.0
Ge0.01Te0.99Pb0.99S0.01,0.32
Sr2La2Pt1O7.13,2.52
Au3S,0.0
Rb1.45Sb7.45Pb3.1Se15,0.45
Cu3(BiI4)4,0.0
Li2MnO2F,0.0
La2Fe2I,0.0
Pr(CoGe)2,0.0
Zn3N2,0.0
Rb2Ti(CuS2)2,2.19
Ba3ThSe7,1.96
AlB2,0.0
Co5RuO8,0.0
Li2PrIn,0.0
GaFe3,0.0
MgSbPt,0.0
Li5(BiO3)4,0.0
CaZn2,0.0
LaSi2,0.19
Yb(Al2Mo)2,0.0
DyCoSi2,0.0
Mn0.1Te1Pb0.9,0.49
Li3FeTe4O11,1.98
HoCo3,0.0
Yb(MnAs)2,0.0
GeO2,5.54
Ta4N5,0.0
Yb2EuS4,1.6
YMgGa,0.0
LaAl4Co,0.0
Bi2SI2O11,3.74
CsGa(SnSe3)2,1.87
Ce(SiAu)2,0.0
Ba2B6H4O13,6.53
Dy2(MoO4)3,1.92
Rh2S3,0.8
Li2NdAs2,0.0
SmHoZn2,0.0
Pt0.97S2,0.95
SrB2,0.0
Li4Co3CuO8,0.0
Rb2PS5,2.3
Tm2AlOs,0.0
Ca5B3O9F,6.53
Ga0.04Te1Pb0.96,0.37
Te2Ru,0.25
Tl6Cu(TeO5)2,2.3
KCuSnSe3,1.04
P2H12N7Cl,0.0
V3Bi(PbO4)3,2.5
Cs2AgBiBr6,2.19
BeAlB,0.0
FeAg3(CN)6,0.0
Ag2HgI4,2.47
RbGe3,0.0
U2AlCo3,0.0
LiV2NiO6,0.0
Tb(CoGe)2,0.0
SmB(SbO4)2,3.54
Mg3Ge,0.0
TlGaTe2,1.8
Sn0.35Te0.35Pb0.65Se0.65,0.09
Cs3Li4(BO2)7,6.53
Ge0.03Pb0.97Se0.97S0.03,0.28
Nd2Te3,1.12
Rh0.67S2,1.5
Ba2FeMoO6,0.0
SiW3,0.0
RbTa3(TeO6)2,3.88
La3Ge3Br2,0.0
In1.85Cu0.15Se2.85,1.32
Li5Cr2Ni5O12,0.0
ErTe,0.9
UCoSi,0.0
Zn3Cu,0.0
Ba3V2(SeO4)4,2.87
TlCr5S8,1.01
MnCu2Sn,0.0
Tl4In3GaS8,2.63
Tm2O3,4.53
KBaAsSe3,2.26
HoTiO3,0.0
Te2Pd3,0.0
V5SiB2,0.0
Ce(MnGe)2,0.0
ZnIrO3,0.0
Ca5(Bi7O13)2,2.6
TiZn3,0.0
YB2Rh2C,0.0
CaEu2O3,0.0
BaIn2(P2O7)2,3.97
BaBiClO2,3.71
LiTaO3,4.1
Dy2AlCo2,0.0
NaEuO2,0.0
LaGeI,0.0
ScBPd3,0.0
Hf(CoSi)2,0.0
AgBiPbSe3,0.13
BaV2SeO8,2.13
CoSb2,0.17
SrBiClO2,3.52
Tb(FeP3)4,0.0
Sn1Se0.75S0.25,0.94
Al2Cu,0.0
ScGa2,0.0
TmMnO3,0.0
BaUSe3,1.0
Ba4Si20Au3,0.0
Y3Al3NiGe2,0.0
ScCoO3,0.0
P2H4RhO9,0.0
Ce3Al,0.0
UAl4,0.0
Fe9Co7,0.0
LaPt5,0.0
Na5Gd(MoO4)4,3.38
Sr2Co2O5,0.0
Nd2HfS5,0.7
Li2MgSn,0.0
LiHoAu2,0.0
DySn3,0.0
ZrSbRu,0.0
Ga1.02Sb0.98Se0.06,0.63
Ta2OsW,0.0
Ca10Ge16(B2O17)3,5.47
Er2Se3,1.66
PrErMg2,0.0
MnV(TeO4)2,1.9
Pr3I,0.0
Ag3AsO4,0.0
DyAs,1.0
Nd3Zr,0.0
Li2CdSnS4,3.26
Li3Dy,0.0
In1.01Cu0.99Se2.01,1.08
Ba2Yb(CuO2)4,0.0
DyAg,0.0
RbGeB3O7,5.58
V3Pt,0.0
TiC,0.0
LuScRu2,0.0
NbCu3Se4,2.45
LaGaO3,4.4
Ta5N6,0.0
Li14Ti21O48,0.0
HoTiSi,0.0
TmThRu2,0.0
Bi0.002Te0.003Pb0.999Se0.999,0.79
Mn3NiN,0.0
Cd0.01Ga0.99Sb0.99Te0.01,0.72
ZrW2,0.0
Y2C3,0.0
Yb3Al5O12,0.0
Ti3PO7,0.0
VIn(NiO3)2,1.92
LaNbN2O,1.7
Ti9O8,0.0
BMo,0.0
La2In,0.0
ZrAlPt,0.0
CsSbSe2,1.7
TiBi25O39,3.1
Cd3P2,0.5
Ba2SnSe4,1.9
Sm4GaSbS9,2.23
BiPO4,3.85
Sm2Se3,2.3
In5Se6,0.14
Bi2Te0.03Se2.97,0.27
Ge0.05Te0.95Pb0.95S0.05,0.4
CeTl3,0.0
V3Ag,0.0
Yb(GaSe2)2,1.8
CoP2,0.35
Y3GaS6,2.88
RbUAgS3,0.0
TaCu3S4,3.0
